Business,Address,Lat,Long
The Peak Plaza,1609 N Blackwelder Ave,35.48538,-97.53919
Gaia's Favor Medical Marijuana Dispensary,2507 NW 23rd St,35.49346,-97.55697
Rabbit Hole Cannabis Dispensary,2500 NW 23rd St,35.49288,-97.55687
The Greens of Central Oklahoma,3401 NW 23rd St,35.49354,-97.57688
Sage Wellness,4200 N Western Ave,35.51413,-97.52957
Urban Wellness,1515 NE 23rd St,35.49314,-97.39795
23rd Street Dispensary,2120 NW 23rd St,35.49294,-97.54873
Ziggyz Cannabis Co.,4007 N Pennsylvania Ave,35.91807,-97.55062
Midtown Cannabis,229 NW 9th St,35.47746,-97.51739
Herban Mother LLC,607 NW 28th St,35.49876,-97.52291
Terpinz Dispensary,507 E California Ave,35.46564,-97.5042
Project Releaf,1218 N Pennsylvania Ave,35.62016,-97.54954
Trichomes Dispensary,1101 N Villa Ave,35.47873,-97.55663
CBD Plus USA Medical Marijuana Dispensary,420 N Pennsylvania Ave,35.47165,-97.54733
Chill Dispensary,22 NE 10th St,35.47778,-97.51113
LIFT Rx,1131 N May Ave,35.47948,-97.56559
APCO Med,313 NW 23rd St,35.49358,-97.51799
ElectraLeaf,25 N Oklahoma Ave,35.46622,-97.63716
OKC Budworx,814 W Sheridan Ave,35.46614,-97.52657
Oklahoma Central Herb Dispensary,1935 E Reno Ave,35.46433,-97.47729
Emerald Alley Dispensary,1141 NW 1st St,35.4692,-97.53204
46 Releaf Dispensary,710 N Broadway Ave,35.47443,-97.51384
PlantMed Dispensary,1016 W Main St,35.33788,-97.5097
Living Leaf Dispensary,617 N Broadway Ave,35.47354,-97.51457
Samrath Dispensary,2901B N Walker Ave,35.49881,-97.52121
GreenBox Dispensary,2640 NW 10th St,35.47814,-97.56168
Painted Nurse Apothecary,3017 N Lee Ave,35.50024,-97.52423
Releaf Dispensary,3200 Delmar Road,35.45655,-97.45454
Lotus Gold Marijuana Dispensary,420 N Pennsylvania Ave,35.47165,-97.54733
Alchemy Gold Healing,801 NW 5th St,35.47341,-97.52586
710 Factory,710 N Virginia Ave,35.47463,-97.59718
CBD Plus USA,2723 N Classen Blvd,35.49717,-97.53461
Highland Healing LLC,714 N Broadway Ave,35.47457,-97.51383
Eden Rose Dispensary,3420 N May Ave,35.5048,-97.56486
Cvltivation Clvb,918 NW 5th St,35.47293,-97.51495
Hybrid Cures,1230 NE 23rd St,35.49293,-97.49012
Cloud City,331 NW 4th St,35.47216,-97.51927
Planet Hollyweed,3121 N Pennsylvania Ave,35.5014,-97.54795
Vibes on Classen,1223 N Classen Blvd,35.54409,-97.52725
Classen Kush House,1217 N Classen Blvd,35.54409,-97.52725
Okey Medical Cannabis,3411 NW 23rd St,35.49341,-97.79527
BCC Collective,1015 NW 1st St,35.46915,-97.52951
